"";"x"
"2416";"GesundZAAbk FRA"
"2417";"GesundZAAbkFRAG"
"2418";"GesundZAAbkFRAVVbg"
"2419";"GesWFachwPrV"
"2420";"GesWZustG"
"2421";"GewAbfV"
"2422";"GewAnzV"
"2423";"GewBezG"
"2424";"GewebeG"
"2425";"GewinnungsAbfV"
"2426";"GewO"
"2427";"GewO§34cDVÄndV 3"
"2428";"GewRSchPrioFrAbk SWE"
"2429";"GewSchG"
"2430";"GewStDV"
"2431";"GewStG"
"2432";"GFABPrV"
"2433";"GFDV"
"2434";"GFG"
"2435";"GFlFleischV"
"2436";"GflSalmoV"
"2437";"GFV"
"2438";"GfwtDBwVDV"
"2439";"GG"
"2440";"GGArt104aAbs4SLG"
"2441";"GGArt115dGO"
"2442";"GGArt45cG"
"2443";"GGArt91cÄndVtr 1"
"2444";"GGArt91cÄndVtr1G"
"2445";"GGArt91cVtr"
"2446";"GGArt91cVtrG"
"2447";"GGAV 2002"
"2448";"GGBefG"
"2449";"GGKontrollV"
"2450";"GGKostV"
"2451";"GGV"
"2452";"GGVSEB"
"2453";"GGVSee"
"2454";"GHfBetrG"
"2455";"GIGV"
"2456";"GII041138"
"2457";"GII041181"
"2458";"GII041202"
"2459";"GII041730"
"2460";"GII050699"
"2461";"GII050708"
"2462";"GII050716"
"2463";"GII050725"
"2464";"GII050732"
"2465";"GII050743"
"2466";"GII050778"
"2467";"GII061362"
"2468";"GII081222"
"2469";"GII090932"
"2470";"GII101381"
"2471";"GII121378"
"2472";"GII170002"
"2473";"GII170016"
"2474";"GIV"
"2475";"GKAR"
"2476";"GKG"
"2477";"GKrimDVDV"
"2478";"GKV-SolG"
"2479";"GKVBegrG 2003"
"2480";"GKVRefG 2000"
"2481";"GKVStabG 2003"
"2482";"GlAppMstrV"
"2483";"GlasappAusbV"
"2484";"GlasblAusbV"
"2485";"GlaserMstrV"
"2486";"GlashütteV"
"2487";"GlasIndMstrFortbV"
"2488";"GlasmAusbV"
"2489";"GlasVAusbV"
"2490";"GlasVMstrV"
"2491";"GlAufrG 1957"
"2492";"GlAusbV 2001"
"2493";"GleiBStiftG"
"2494";"GleibWV"
"2495";"GleichberG"
"2496";"GleiStatV"
"2497";"GlPrZBKnV"
"2498";"GlPrZHanauV 2019"
"2499";"GlPrZHerneV"
"2500";"GlPrZKaiserslauternV"
"2501";"GlPrZMichelstadtV 2019"
"2502";"GlPrZRheinbachV 2017"
"2503";"GlPrZWeilburgV"
"2504";"GMAusbV"
"2505";"GmbHG"
"2506";"GNG"
"2507";"GnO"
"2508";"GNotKG"
"2509";"GntDAIVVDV"
"2510";"GntDBwVVDV"
"2511";"GntDSVVDV"
"2512";"GntVDDVCSVDV"
"2513";"GntZollDVDV"
"2514";"GO-MEDAS"
"2515";"GO-MEDASV"
"2516";"GOÄ"
"2517";"GoetheMedStat"
"2518";"GoetheMedStat 2003"
"2519";"GoetheMedStat 2008"
"2520";"GoldSchmAusbV"
"2521";"GoldSilberschmiedMstrV"
"2522";"GOP"
"2523";"GOT"
"2524";"GOZ"
"2525";"GPatG"
"2526";"GPEV"
"2527";"GPrüfbV"
"2528";"GPV"
"2529";"GrAbfAUTVbgV"
"2530";"GrAbfErlPolAbk"
"2531";"GrAbfErlPolAbkG"
"2532";"GrAbfertAUTVtrG 1967"
"2533";"GrAbfertCESVtrG"
"2534";"GrAbfertDNKVtrG"
"2535";"GrAbfertVbg POL"
"2536";"GrAbfertVbgAUTV"
"2537";"GrAbfertVtr AUT 1962"
"2538";"GrAbfertVtr AUT 1967"
"2539";"GrAbfertVtrAUT1962G"
"2540";"GrAbfertVtrAUT1967ÄndVtrG"
"2541";"GräbG"
"2542";"GräbPauschV 2019/2020"
"2543";"GrÄndStVtr BB/MV"
"2544";"GrÄndStVtr BB/SN"
"2545";"GrÄndStVtr BB/ST"
"2546";"GrÄndStVtr BR/ND"
"2547";"GrÄndStVtr BW/BY 2"
"2548";"GrÄndStVtr BW/BY 3"
"2549";"GrÄndStVtr BW/HE"
"2550";"GrÄndStVtr HE/ND"
"2551";"GrÄndStVtr HE/NW"
"2552";"GrÄndStVtr MV/ND"
"2553";"GrÄndStVtr NW/RP"
"2554";"GrÄndStVtr SL/RP"
"2555";"GrÄndStVtr SN/TH"
"2556";"GrÄndStVtr SN/TH 2"
"2557";"GrÄndStVtr2 ND/NW"
"2558";"GrÄndStVtr2ND/NWBek"
"2559";"GrÄndStVtr3 ND/NW"
"2560";"GrÄndStVtr3ND/NWBek"
"2561";"GrÄndStVtrBB/MVBek"
"2562";"GrÄndStVtrBB/SNBek"
"2563";"GrÄndStVtrBB/STInkrBek"
"2564";"GrÄndStVtrBR/NDBek"
"2565";"GrÄndStVtrBW/BY2Bek"
"2566";"GrÄndStVtrBW/BY3Bek"
"2567";"GrÄndStVtrBW/HEBek"
"2568";"GrÄndStVtrHE/NDBek"
"2569";"GrÄndStVtrHE/NWBek"
"2570";"GrÄndStVtrMV/NDBek"
"2571";"GrÄndStVtrNW/RPBek"
"2572";"GrÄndStVtrSL/RPBek"
"2573";"GrÄndStVtrSN/TH2Bek"
"2574";"GrÄndStVtrSN/THBek"
"2575";"GrAusbV"
"2576";"GravMstrV"
"2577";"GrBerichtVtr NLD 1"
"2578";"GrBerichtVtr NLD 2"
"2579";"GrBerichtVtrNLD1G"
"2580";"GrBerichtVtrNLD2G"
"2581";"GrBerichtVtrNLD2ZusProt"
"2582";"GrBerKrAC/MalVtr BEL"
"2583";"GrBerKrAC/MalVtrBELG"
"2584";"GrBrückAbk CES"
"2585";"GrBrückAbk LUX"
"2586";"GrBrückAbk2000POLG"
"2587";"GrBrückAbkCESG"
"2588";"GrBrückAbkPOLG"
"2589";"GrBrückPerlAbk LUX"
"2590";"GrBrückPerlAbkLUXG"
"2591";"GrBrückVbgFRAV"
"2592";"GrBrückVtr2000CZEG"
"2593";"GrdstVG"
"2594";"GrenzAV 2014"
"2595";"GrenzgAbk NLD"
"2596";"GrenzgAbkNLDV 1"
"2597";"GrenzgAbkNLDV 2"
"2598";"GrenzgNLDZusProt3"
"2599";"GrenzgSteinKVtr NLD"
"2600";"GrenzVerkAUTVtrG 1"
"2601";"GrenzVerkAUTVtrG 2"
"2602";"GrenzVerkVtr AUT 1"
"2603";"GrenzVerkVtr AUT 2"
"2604";"GrenzVtr BEL"
"2605";"GrenzVtr NLD"
"2606";"GrenzVtr POL"
"2607";"GrenzVtrPOLG"
"2608";"GrEStG"
"2609";"GRG"
"2610";"GroMiKV"
"2611";"GrPfREuroV"
"2612";"GrSiDAV"
"2613";"GrStG"
"2614";"GrundVtrG"
"2615";"GruWErl"
"2616";"GruWErlDBest"
"2617";"GrVerkAbk CHE"
"2618";"GRWG"
"2619";"GrwV"
"2620";"GSA Fleisch"
"2621";"GSG"
"2622";"GSIAusbV"
"2623";"GStDVDV"
"2624";"GtDBahnVDV"
"2625";"GtDBWVAPrV"
"2626";"GtDFmEloAufklVDV"
"2627";"GtDITZBundVDV"
"2628";"GtDWSVVDV"
"2629";"GTNSitzAbk"
"2630";"GTNSitzAbkG"
"2631";"GTNÜbk"
"2632";"GuAMKflAusbV"
"2633";"GÜG"
"2634";"GüKG"
"2635";"GüKGÄndG 4"
"2636";"GüKGrKabotageV"
"2637";"GüKG§6aV"
"2638";"GüKKostV 1998"
"2639";"GüKVO"
"2640";"GüLogFachwPrV"
"2641";"GVFG"
"2642";"GVG"
"2643";"GVGEG"
"2644";"GVIDVDV"
"2645";"GvKostG"
"2646";"GVO"
"2647";"GVV"
"2648";"GWB"
"2649";"GWDAPrV"
"2650";"GwG"
"2651";"GwGMeldV-Immobilien"
"2652";"GZKtgRindFlV 1989"
"2653";"HaagÜbkAG"
"2654";"HärteV"
"2655";"HafenlogAusbV"
"2656";"HafenSchAusbV"
"2657";"HaftEntschBefStoffeSeeÜbk"
"2658";"HaftPflG"
"2659";"HAG"
"2660";"HAGDV 1"
"2661";"HalblSchG"
"2662";"HalblSchV"
"2663";"HaldeRlAnO"
"2664";"HandzMstrV"
"2665";"HanfEinfV"
"2666";"HArchDVDV"
"2667";"Haushaltsgesetz 2023"
"2668";"HAuslG"
"2669";"HAV"
"2670";"HaWiAusbV"
"2671";"HBankDVDV"
"2672";"HBauStatG"
"2673";"HBegleitG 1984"
"2674";"HBeglG 1991"
"2675";"HBPolVDAufstV"
"2676";"HdBALBV"
"2677";"HdGStiftG"
"2678";"HdlDlStatG"
"2679";"HdlFachwPrV"
"2680";"HdlKlG"
"2681";"HdlKlSchafFlV 1993"
"2682";"HebG"
"2683";"HebStPrV"
"2684";"HeilprG"
"2685";"HeilprGDV 1"
"2686";"HeilVfV"
"2687";"HeimG"
"2688";"HeimGÄndG 1"
"2689";"HeimGÄndG 2"
"2690";"HeimMindBauV"
"2691";"HeimmwV"
"2692";"HeimPersV"
"2693";"HeimsicherungsV"
"2694";"HeizkostenV"
"2695";"HeizkZG"
"2696";"HeizkZuschG"
"2697";"HeizölLBV"
"2698";"HerrentunnelMautHV"
"2699";"HeuerVtrÜbkG"
"2700";"HfreqBetrGen"
"2701";"HfzHvzVStG"
"2702";"HG 2022"
"2703";"HGB"
"2704";"HGBEG"
"2705";"HgFSNatSchV"
"2706";"HGrG"
"2707";"HHG"
"2708";"HHG§3V"
"2709";"HiKassGAufhG"
"2710";"HilfetelefonG"
"2711";"HIVHG"
"2712";"HiWerkBehKGÄndG"
"2713";"HKEntschG"
"2714";"HkGAufhuaÄndG"
"2715";"HkNRG"
"2716";"HKohlStiftG"
"2717";"HKrimDAPrV"
"2718";"HkRNDV"
"2719";"HkRNGebV"
"2720";"HKStG"
"2721";"HKWAbfV"
"2722";"HmbNSGBefV"
"2723";"HNSG"
"2724";"HNSPflichtVersBeschV"
"2725";"HOAI"
"2726";"HoBaMstrV"
"2727";"HochschulAbk FRA"
"2728";"HöBetrV"
"2729";"HöfeO"
"2730";"HöfeOÄndG 2"
"2731";"HöfeVfO"
"2732";"HörAkAusbV"
"2733";"HörAkMstrV"
"2734";"HofV"
"2735";"HoheSeeEinbrG"
"2736";"HoheSeeÜbk"
"2737";"HoheSeeÜbkG"
"2738";"HohSeeEinbrV"
"2739";"HolzBauSchAusbV"
"2740";"HolzbearbMechAusbV 2004-07"
"2741";"HolzbhAusbV"
"2742";"HolzbhMstrV"
"2743";"HolzbInstrmMAusbV"
"2744";"HolzblMstrV"
"2745";"HolzEinschlBeschrV2021"
"2746";"HolzmechAusbV"
"2747";"HolzSiG"
"2748";"HolzSpielzMAusbV 1996"
"2749";"HomTAMRegV"
"2750";"HonigV"
"2751";"HopfEinV"
"2752";"HopfG"
"2753";"HopfV 2023"
"2754";"HotelAusbV"
"2755";"HotelMeistPrV"
"2756";"HPflEGRLDV"
"2757";"HRegGebV"
"2758";"HRFEG"
"2759";"HRG"
"2760";"HRV"
"2761";"HSchmidtStiftG"
"2762";"HSeeZG"
"2763";"HStatG"
"2764";"HStruktG"
"2765";"HtDBWVAPrV"
"2766";"HufBeschl-AnerkennV"
"2767";"HufBeschlG"
"2768";"HufBeschlV"
"2769";"HundVerbrEinfG"
"2770";"HundVerbrEinfVO"
"2771";"HUrlV"
"2772";"HWeizSaatV 2015"
"2773";"HwFwBAProKaufmMFV"
"2774";"HWG"
"2775";"HWirtMeistPrV"
"2776";"HwO"
"2777";"HwOuaÜG"
"2778";"HwO§16V"
"2779";"HwO§5aAbs2V"
"2780";"HwPGV"
"2781";"HwREintrV"
"2782";"HwStatG"
"2783";"HwVerwdtV"
"2784";"HwWahlO"
"2785";"HypAblV"
"2786";"HypBkGÄndG 5"
"2787";"HypKrlosErklG"
"2788";"HypÜberlG"
"2789";"HZAZustV"
"2790";"HZInstrmMAusbV"
"2791";"HZvG"
"2792";"HZvNG"
"2793";"HZvV"
"2794";"HZvV 2"
"2795";"HZvV 3"
"2796";"HZvV 4"
"2797";"HZvV 5"
"2798";"HZvV 6"
"2799";"HZvV 7"
"2800";"HZvV 8"
"2801";"IAEOBen/IAEOHiLÜbkG"
"2802";"IAEOBenÜbk"
"2803";"IAEOHiLÜbk"
"2804";"IAmEntwBkÜbk"
"2805";"IAmEntwBkÜbkG"
"2806";"IAmInvGesÜbk USA/ua"
"2807";"IAmInvGesÜbkUSA/uaG"
"2808";"IAOÜbk 118"
"2809";"IAOÜbk 121"
"2810";"IAOÜbk 126"
"2811";"IAOÜbk 87"
"2812";"IAOÜbk118G"
"2813";"IAOÜbk121G"
"2814";"IAOÜbk147G"
"2815";"IBRD/IFCAbkÄndG"
"2816";"IBRDAbk"
"2817";"IDA"
"2818";"IDNrG"
"2819";"IDÜV"
"2820";"IEnProgÜbk"
"2821";"IEnProgÜbkG"
"2822";"IEntwOrgAbkG"
"2823";"IFCAbk"
"2824";"IFCAbkG"
"2825";"IFG"
"2826";"IFGGebV"
"2827";"IfSG"
"2828";"IFUKK1992ÄndUrk1996G"
"2829";"IFUKK1992G"
"2830";"IGV-DG"
"2831";"IHKG"
"2832";"IHRAVorRV"
"2833";"II. BV"
"2834";"IICVorRV"
"2835";"IMF/IBRDBeitrAbkG"
"2836";"IMFAbk"
"2837";"IMFAbkG"
"2838";"IMIS-ZustV"
"2839";"IMLebensmFPrV"
"2840";"ImmobKfmAusbV"
"2841";"ImmoDarlSachkV"
"2842";"ImmoFachwPrV"
"2843";"ImmoKWPLV"
"2844";"ImmoWertV"
"2845";"ImmVermV"
"2846";"IMPMedBAProPrFPrV"
"2847";"IMSüßFPrV"
"2848";"IndBkGDV 1"
"2849";"IndElAusbV 2007"
"2850";"IndElekAusbV"
"2851";"IndElErprobV"
"2852";"IndFachwirtPrV 2010"
"2853";"IndKfmAusbV 2002"
"2854";"IndKredBkG"
"2855";"IndMechaAusbV"
"2856";"IndMetAusbV 2007"
"2857";"IndMetErprobV"
"2858";"IndMetMeistV 1997"
"2859";"IndMIsoPrV"
"2860";"IndUnfÜbk"
"2861";"INF-VtrNotW"
"2862";"INF-VtrNotWV"
"2863";"InfoElekAusbErprbV"
"2864";"InfoElekAusbV"
"2865";"InfoGesStatG"
"2866";"InformationsTechMstrV"
"2867";"InfrAG"
"2868";"InfrGG"
"2869";"InfrGGBV"
"2870";"InhKontrollV"
"2871";"InhPapG"
"2872";"INMARSAT"
"2873";"INMARSATVorRProt"
"2874";"InnAusV"
"2875";"InsBekV"
"2876";"InsO"
"2877";"InsoGeldEinzPV"
"2878";"InsoGeldFestV 2016"
"2879";"InsoGeldFestV 2017"
"2880";"InsoGeldFestV 2018"
"2881";"InsoGeldFestV 2019"
"2882";"InsoGeldFestV 2020"
"2883";"InsoGeldFestV 2022"
"2884";"InsoGeldFestV 2023"
"2885";"InsoKostV"
"2886";"InsStatG"
"2887";"InstallateurHeizungsbauerMstrV"
"2888";"InstitutsVergV"
"2889";"InsVV"
"2890";"IntAtomBehSa"
"2891";"IntAtomOrgVorRV"
"2892";"IntAtomOrgVorRVbg"
"2893";"IntAtomSa"
"2894";"IntBestG"
"2895";"IntBestÜbk"
"2896";"IntBMeßwVorRV"
"2897";"INTELSATÜbk"
"2898";"INTELSATÜbkÄndG"
"2899";"INTELSATÜbkG"
"2900";"INTELSATVorRProt"
"2901";"INTELSATVorRProtV"
"2902";"IntErbRVG"
"2903";"INTERSPUTNIKAbk"
"2904";"INTERSPUTNIKG"
"2905";"INTERSPUTNIKProt"
"2906";"IntFamRVG"
"2907";"IntGüRVG"
"2908";"IntKakaoÜbk 1980"
"2909";"IntKakaoÜbk 1986"
"2910";"IntKonnBek"
"2911";"IntKonnBek 1986-10"
"2912";"IntKonnBek 1990"
"2913";"IntKonnBek 1992"
"2914";"IntKonnBek 1994"
"2915";"IntKonnBek 1996"
"2916";"IntKonnBek 1999"
"2917";"IntKonnBek 1999-11"
"2918";"IntKonnBek 2001"
"2919";"IntKonnBek 2009"
"2920";"IntMeerSchÜbk 1973"
"2921";"IntMeerSchÜbk1973Anl I"
"2922";"IntMeerSchÜbk1973Anl II"
"2923";"IntMeerSchÜbk1973Anl III"
"2924";"IntMeerSchÜbk1973Anl IV"
"2925";"IntMeerSchÜbk1973Anl V"
"2926";"IntMeerSchÜbk1973G"
"2927";"IntMeerSchÜbk1973Prot"
"2928";"IntMeerSchÜbk1973Prot 1"
"2929";"IntMeßwOrgÜbk"
"2930";"IntMilPVorRV"
"2931";"IntNatKautschÜbk"
"2932";"IntPatÜbkG"
"2933";"IntPatÜbkGArtII§2V"
"2934";"IntRaumsÜbkG"
"2935";"IntSchVermÜbk"
"2936";"IntSchVermÜbkG"
"2937";"IntTestV"
"2938";"IntV"
"2939";"IntVG"
"2940";"IntWarenBezÜbk"
"2941";"IntWarenBezÜbkÄndProt"
"2942";"IntWarenBezÜbkV"
"2943";"IntZLuftAbk"
"2944";"IntZLuftAbkProt"
"2945";"IntZLuftAbkProtG"
"2946";"InVeKoSDG"
"2947";"InVeKoSV"
"2948";"InvestAusbV"
"2949";"InvHSG"
"2950";"InvKG"
"2951";"InVorG"
"2952";"InvStG"
"2953";"InvStreitÜbk"
"2954";"InvStreitÜbkG"
"2955";"InvZulBerG"
"2956";"InvZulG 1996"
"2957";"InvZulG 1999"
"2958";"InvZulG 2005"
"2959";"InvZulG 2007"
"2960";"InvZulG 2010"
"2961";"InvZulG2005DV"
"2962";"IRegBV"
"2963";"IRegG"
"2964";"IRENASa"
"2965";"IRENASaG"
"2966";"IRENASitzAbk"
"2967";"IRENASitzAbkG"
"2968";"IRG"
"2969";"ISAusbV 1997"
"2970";"IsolMstrV"
"2971";"IStGHG"
"2972";"IT-FortbV"
"2973";"IT-NetzG"
"2974";"ItalKultInstVorRNotW"
"2975";"ItalKultInstVorRV"
"2976";"ITFG"
"2977";"ITSEAusbV"
"2978";"ITSiV-PV"
"2979";"ITSManKflAusbV"
"2980";"ITZBundG"
"2981";"IUCNVorV"
"2982";"IVD-AMG-V"
"2983";"IVSG"
"2984";"IZÜV"
"2985";"JAbschlVUV"
"2986";"JAbschlWUV"
"2987";"JagdzeitV 1977"
"2988";"JAktAG"
"2989";"JAktAV"
"2990";"JAOÜbk 99"
"2991";"JAOÜbk99G"
"2992";"JArbSchG"
"2993";"JArbSchSittV"
"2994";"JArbSchUV"
"2995";"JAVollzO"
"2996";"JBeitrG"
"2997";"JFAngAusbV"
"2998";"JFDG"
"2999";"JGG"
"3000";"JHiStruktV"
"3001";"JMBStiftG"
"3002";"JohOrdenNFErl"
"3003";"JohOrdenNFErl 1994"
"3004";"JubVAAnO 1963-11"
"3005";"JubVAAnO1963-11ÄndAnO"
"3006";"JubVÄndV 4"
"3007";"JubVAnO"
"3008";"JudDenkmStiftG"
"3009";"JüdMilSeelsG"
"3010";"JüdMilSeelsVtr"
"3011";"JurAusbRefG"
"3012";"JurPrNotSkV"
"3013";"JuSchG"
"3014";"JVEG"
"3015";"JVertrAmtszVerlG"
"3016";"JVKostG"
"3017";"KAEAnO"
"3018";"KälteanlMstrV"
"3019";"KälteMechaAusbV"
"3020";"KaEntwBkÜbk"
"3021";"KaEntwBkÜbkG"
"3022";"KäseV"
"3023";"KaFbMstrV"
"3024";"KaffeeRatVorRV"
"3025";"KaffeeStG"
"3026";"KaffeeStV"
"3027";"KaffeeÜbk 1983"
"3028";"KaffeeÜbk 2001"
"3029";"KaffeeÜbk1983G"
"3030";"KaffeeÜbk1983OrgVorRV"
"3031";"KaffeeV 2001"
"3032";"KAGB"
"3033";"KAGBAuslAnzV"
"3034";"KAGG/GewOErgG"
"3035";"KakaoV 2003"
"3036";"KanalStTO 2010"
"3037";"KapAusstV"
"3038";"KapErhStG"
"3039";"KapErhStG§8Abs1DV"
"3040";"KapMuG"
"3041";"KapResV"
"3042";"KAPrüfbV"
"3043";"KARBV"
"3044";"KartKostV"
"3045";"KartKrebs/KartZystV"
"3046";"KartRingfV 2001"
"3047";"KaseinV"
"3048";"KassenSichV"
"3049";"KassNeuOV"
"3050";"KastrG"
"3051";"KatHiLAbk BEL"
"3052";"KatHiLAbk CHE"
"3053";"KatHiLAbk DNK"
"3054";"KatHiLAbk FRA"
"3055";"KatHiLAbk LIT"
"3056";"KatHiLAbk LUX"
"3057";"KatHiLAbk POL"
"3058";"KatHiLAbk RussFö"
"3059";"KatHiLAbkBELG"
"3060";"KatHiLAbkCHEG"
"3061";"KatHiLAbkCZEG"
"3062";"KatHiLAbkDNKG"
"3063";"KatHiLAbkFRAG"
"3064";"KatHiLAbkLITG"
"3065";"KatHiLAbkLUXG"
"3066";"KatHiLAbkPOLG"
"3067";"KatHiLAbkRussFöG"
"3068";"KatSchErwG"
"3069";"KAV"
"3070";"KAVerOV"
"3071";"KBAG"
"3072";"KBFG"
"3073";"KBNAnrG"
"3074";"KBV"
"3075";"KDAV"
"3076";"KDVErstattV"
"3077";"KDVG"
"3078";"KEPFachAusbV"
"3079";"KEPKfmAusbV"
"3080";"KeramMstrV"
"3081";"KerAusbV"
"3082";"KerIndAusbV"
"3083";"KernbrStG"
"3084";"KErzG"
"3085";"KF-VO"
"3086";"KfbG"
"3087";"KflDiAusbV"
"3088";"KfSachvG"
"3089";"KfSachvV"
"3090";"KFürsV"
"3091";"KfWV"
"3092";"KfzAbk GBR"
"3093";"KfzAbkGBRG"
"3094";"KfzAnmVerlG"
"3095";"KfzHPflÜbk Straßburg"
"3096";"KfzHV"
"3097";"KfzMechaAusbErprobV"
"3098";"KfzMechaAusbV 2013"
"3099";"KfzPflVV"
"3100";"KfzStBefrAbk DDR"
"3101";"KfzTechMstrV"
"3102";"KfzUnfEntschV"
"3103";"KfzVersBehStatAnO"
"3104";"KfzVersNATOStatAnO"
"3105";"KGAbkÄndAbk NLD"
"3106";"KgfAbk Genf"
"3107";"KGSG"
"3108";"KGÜbk"
"3109";"KGUG"
"3110";"KGUGEG"
"3111";"KHBV"
"3112";"KHEntgG"
"3113";"KHG"
"3114";"KHKapSurV"
"3115";"KHNG"
"3116";"KHSFV"
"3117";"KHStatV"
"3118";"KHV"
"3119";"KhWbAusbV"
"3120";"KHWiSichV"
"3121";"KiEntfÜbk Haag"
"3122";"KiGAbV"
"3123";"KindArbSchV"
"3124";"KindUFV"
"3125";"KInvFErrG"
"3126";"KInvFG"
"3127";"KiQuTG"
"3128";"KirchenberufeV"
"3129";"KiSchMaßnÜbk Haag"
"3130";"KiSchÜbk Haag"
"3131";"KitaFinHG"
"3132";"KIV"
"3133";"KJHG"
"3134";"KK-AltRückV"
"3135";"KKG"
"3136";"KKÜNOG"
"3137";"KKVerbdG"
"3138";"KlaCbMstrV"
"3139";"KlaCembAusbV"
"3140";"KlärEV"
"3141";"KlagRegV"
"3142";"KlauenPflPrV"
"3143";"KlempnerAusbV"
"3144";"KlempnerMstrV"
"3145";"KlFzKV-BinSch"
"3146";"KlimaBergV"
"3147";"KlimÄndRÜbk"
"3148";"KlWalAbkG"
"3149";"KmV"
"3150";"KNV-V"
"3151";"KnVAusbauV"
"3152";"KochAusbV"
"3153";"KOFV 1919"
"3154";"KohleAusG"
"3155";"KohleUGrV"
"3156";"KohleUMeldeG"
"3157";"KomtrZV"
"3158";"KondAusbV 2003"
"3159";"KondMstrV"
"3160";"KonfV"
"3161";"KonjAusglRFrV"
"3162";"KonjAusglRFrV 2"
"3163";"KonjAusglRV 1969"
"3164";"KonjAusglRV 1970"
"3165";"KonjV 1"
"3166";"KonjV 2"
"3167";"KonjV 3"
"3168";"KonkRVtr AUT"
"3169";"KONSENS-G"
"3170";"KonsG"
"3171";"KonsHilfG"
"3172";"KonstPrV"
"3173";"KonsÜbk Wien"
"3174";"KonsÜbkG"
"3175";"KonsVerAUTV"
"3176";"KonsVerBELV"
"3177";"KonsVerCHEV"
"3178";"KonsVerFRAV"
"3179";"KonsVerGBRV"
"3180";"KonsVerLUXV"
"3181";"KonsVerNLDV"
"3182";"KonsVerRUSV"
"3183";"KonsVerUSAV"
"3184";"KontrGerätBeglG"
"3185";"KonvBehSchG"
"3186";"KonzVgV"
"3187";"KorbmMstrV"
"3188";"KosmAusbV"
"3189";"KosmetikerMstrV"
"3190";"KosmetikV 2014"
"3191";"KostenbeitragsV"
"3192";"KostErmÄndG"
"3193";"KoStrukStatG"
"3194";"KOV"
"3195";"KOVAUTVtrG"
"3196";"KOVRentKapG"
"3197";"KOVVfG"
"3198";"KOVVtr AUT"
"3199";"KOVVtr ESP"
"3200";"KOVVtrESPG"
"3201";"KOVVtrZVtr AUT"
"3202";"KOVVwG"
"3203";"KOVZustV"
"3204";"KOVZusVtrAUTG"
"3205";"KPBV"
"3206";"KPrüfTechnAusbV"
"3207";"KrAbwFBek"
"3208";"KraftNAV"
"3209";"KraftStCHEV"
"3210";"KraftStDV"
"3211";"KraftStG 2002"
"3212";"KraftStKompG"
"3213";"KraftstoffLBV"
"3214";"KraftwPrV"
"3215";"KrArchG"
"3216";"KrBesReglVtr"
"3217";"KredAAG"
"3218";"KredAnstWiAG"
"3219";"KredAnstWiAÜV"
"3220";"KredAufnBegrV 1971"
"3221";"KredAufnBegrV 1973"
"3222";"KredAufnG"
"3223";"KredFinG 1967"
"3224";"KredInstNdlAufhG"
"3225";"KredInstNdlG"
"3226";"KredWGÄndG 2"
"3227";"KredWGÄndG 3"
"3228";"KredWGAUSFreistV"
"3229";"KredWGJPNFreistV"
"3230";"KredWGUSAFreistV"
"3231";"KrFArbZG"
"3232";"KrFrHemmG"
"3233";"KrFrHemmGErgG"
"3234";"KrGlasKennzG"
"3235";"KrimBekAbk USA"
"3236";"KrimBekAbkUSAAG"
"3237";"KrimLV"
"3238";"KrProblAbk HND"
"3239";"KrW/AbfMeistPrV"
"3240";"KrWaffGenV"
"3241";"KrWaffGenV 2"
"3242";"KrWaffKontrG"
"3243";"KrWaffKontrGDV 1"
"3244";"KrWaffKontrGDV 2"
"3245";"KrWaffKontrGDV 3"
"3246";"KrWaffUnbrUmgV"
"3247";"KrWG"
"3248";"KryptoFAV"
"3249";"KryptoWTransferV"
"3250";"KSAbg2022V"
"3251";"KSAbg2023V"
"3252";"KSchG"
"3253";"KSEVtr"
"3254";"KSEVtrAG"
"3255";"KSEVtrG"
"3256";"KSG"
"3257";"KSKSaV"
"3258";"KSpG"
"3259";"KStDV 1994"
"3260";"KStG"
"3261";"KStoffIndMeistPrV 2014"
"3262";"KStoffVerfMAusbV 2012"
"3263";"KSVEntgV"
"3264";"KSVG"
"3265";"KSVGBeitrÜV"
"3266";"KtEfV"
"3267";"KTFG"
"3268";"KtgWV"
"3269";"KüchMeistPrV"
"3270";"KüMErwBek"
"3271";"KÜO"
"3272";"KürMstrV"
"3273";"KürschAusbV"
"3274";"KüSchV"
"3275";"KüstmProkBek"
"3276";"KugÖV"
"3277";"KugZuV"
"3278";"KultErhStudZVorRV"
"3279";"KultgSchKonv"
"3280";"KultgSchKonvABest"
"3281";"KultgSchKonvG"
"3282";"KultgSchKonvProt"
"3283";"KultgSchKonvProt 2"
"3284";"KultNatErbSchutzÜbk"
"3285";"KundenbTischlPrV"
"3286";"KunstSchAbk"
"3287";"KunstSchAbkG"
"3288";"KunstUrhG"
"3289";"KuStGrVorRV"
"3290";"KV/PVPauschBeitrV"
"3291";"KVArbNÜbkG"
"3292";"KVAV"
"3293";"KVBEVO"
"3294";"KVBG"
"3295";"KVG"
"3296";"KVHilfsmV"
"3297";"KVKG"
"3298";"KVLG 1989"
"3299";"KVMeistPrV"
"3300";"KVR"
"3301";"KVStGleichstV"
"3302";"KVWG"
"3303";"KWaffVtr"
"3304";"KWG"
"3305";"KWGWpIGVermV"
"3306";"KWKAusV"
"3307";"KWKG 2023"
"3308";"KWMV"
"3309";"KyotoProt"
"3310";"KyotoProtAnpfondsG"
"3311";"LA-EG-Saar"
"3312";"LA-EinfDV-Saar"
"3313";"LAAbk CHE"
"3314";"LAAbk SWE"
